accession_no,ticker,cik,filed_at,filing_date,item_codes,body_keywords,direction,direction_confidence,direction_source,t0_close,t1_close,t5_close,next_day_return,five_day_return,label_t1,label_t5
0001140361-22-040700,ADMA,0001368514,2022-11-09,2022-11-09,2.02|9.01,fda_approval,long,0.85,body_keywords,8.79,9.16,9.41,0.04209,0.07053,A_long,A_long
0001140361-22-039119,ADMA,0001368514,2022-10-31,2022-10-31,8.01|9.01,fda_approval,long,0.85,body_keywords,8.79,9.16,9.41,0.04209,0.07053,A_long,A_long
0001140361-22-029079,ADMA,0001368514,2022-08-10,2022-08-10,2.02|9.01,fda_approval,long,0.85,body_keywords,8.79,9.16,9.41,0.04209,0.07053,A_long,A_long
0001140361-22-024139,ADMA,0001368514,2022-06-27,2022-06-27,8.01|9.01,fda_approval,long,0.85,body_keywords,8.79,9.16,9.41,0.04209,0.07053,A_long,A_long
0001140361-22-023666,ADMA,0001368514,2022-06-21,2022-06-21,5.02|5.07|9.01,restate,short,0.85,body_keywords,8.79,9.16,9.41,0.04209,0.07053,A_long,A_long
0001140361-22-022769,ADMA,0001368514,2022-06-13,2022-06-13,8.01,,,0.0,,8.79,9.16,9.41,0.04209,0.07053,A_long,A_long
0001140361-22-018655,ADMA,0001368514,2022-05-11,2022-05-11,2.02|9.01,fda_approval,long,0.85,body_keywords,8.79,9.16,9.41,0.04209,0.07053,A_long,A_long
0001193125-26-212117,MD,0000893949,2026-05-07,2026-05-07,5.02|5.07|9.01,restate,short,0.85,body_keywords,22.93,23.51,,0.02529,,B_long,
0001193125-26-204982,MD,0000893949,2026-05-05,2026-05-05,2.02|9.01,buyback_authorized,long,0.7,body_keywords,20.83,22.21,23.68,0.06625,0.13682,A_long,A_long
0001193125-26-058063,MD,0000893949,2026-02-19,2026-02-19,2.02|9.01,,,0.0,,19.3,18.82,19.86,-0.02487,0.02902,B_short,B_long
0001193125-25-261626,MD,0000893949,2025-11-03,2025-11-03,2.02|9.01,,,0.0,,21.08,21.44,22.57,0.01708,0.07068,B_long,A_long
0000950170-25-109777,MD,0000893949,2025-08-18,2025-08-18,7.01|8.01|9.01,buyback_authorized,long,0.7,body_keywords,16.0,16.49,17.06,0.03062,0.06625,A_long,A_long
0000950170-25-102375,MD,0000893949,2025-08-05,2025-08-05,2.02|9.01,,,0.0,,12.92,14.44,14.72,0.11765,0.13932,A_long,A_long
0000950170-25-092261,MD,0000893949,2025-07-01,2025-07-01,5.02|7.01|9.01,,,0.0,,14.33,13.78,13.56,-0.03838,-0.05373,A_short,A_short
0000950170-25-067076,MD,0000893949,2025-05-08,2025-05-08,5.07,,,0.0,,14.44,14.53,14.88,0.00623,0.03047,neutral,A_long
0000950170-25-063946,MD,0000893949,2025-05-06,2025-05-06,2.02|9.01,,,0.0,,14.48,14.35,14.42,-0.00898,-0.00414,neutral,neutral
0000950170-25-055880,MD,0000893949,2025-04-18,2025-04-18,1.01,,long,0.5,item_codes,12.0,12.14,12.36,0.01167,0.03,B_long,B_long
0000950170-25-023723,MD,0000893949,2025-02-20,2025-02-20,2.02|9.01,,,0.0,,17.23,15.61,15.06,-0.09402,-0.12594,A_short,A_short
0001193125-25-006190,MD,0000893949,2025-01-14,2025-01-14,5.02,,,0.0,,13.66,14.0,14.07,0.02489,0.03001,B_long,A_long
0001193125-25-004937,MD,0000893949,2025-01-13,2025-01-13,2.02|7.01|9.01,,,0.0,,13.31,13.66,14.0,0.0263,0.05184,B_long,A_long
0000950170-24-133723,MD,0000893949,2024-12-05,2024-12-05,5.02,,,0.0,,14.7,14.8,14.17,0.0068,-0.03605,neutral,A_short
0000950170-24-119795,MD,0000893949,2024-11-01,2024-11-01,2.02|9.01,,,0.0,,15.21,15.14,15.76,-0.0046,0.03616,neutral,A_long
0000950170-24-091185,MD,0000893949,2024-08-06,2024-08-06,2.02|5.02|9.01,,,0.0,,8.97,9.63,10.11,0.07358,0.12709,A_long,A_long
0000950170-24-074283,MD,0000893949,2024-06-17,2024-06-17,5.02,restate,short,0.85,body_keywords,7.5,7.71,7.65,0.028,0.02,B_long,B_long
0000950170-24-066242,MD,0000893949,2024-05-30,2024-05-30,7.01|9.01,,,0.0,,7.36,7.31,6.89,-0.00679,-0.06386,neutral,A_short
0000950170-24-057093,MD,0000893949,2024-05-09,2024-05-09,5.07,,,0.0,,8.53,8.48,7.46,-0.00586,-0.12544,neutral,A_short
0000950170-24-053917,MD,0000893949,2024-05-07,2024-05-07,2.02|9.01,,,0.0,,8.53,8.48,7.46,-0.00586,-0.12544,neutral,A_short
0000950170-24-048387,MD,0000893949,2024-04-25,2024-04-25,1.01,,long,0.5,item_codes,8.53,8.48,7.46,-0.00586,-0.12544,neutral,A_short
0000950170-24-016790,MD,0000893949,2024-02-20,2024-02-20,2.02|9.01,,,0.0,,8.53,8.48,7.46,-0.00586,-0.12544,neutral,A_short
0000950170-23-057732,MD,0000893949,2023-11-02,2023-11-02,2.02|9.01,,,0.0,,8.53,8.48,7.46,-0.00586,-0.12544,neutral,A_short
0000950170-23-037559,MD,0000893949,2023-08-03,2023-08-03,2.02|9.01,,,0.0,,8.53,8.48,7.46,-0.00586,-0.12544,neutral,A_short
0000950170-23-021326,MD,0000893949,2023-05-11,2023-05-11,5.07,,,0.0,,8.53,8.48,7.46,-0.00586,-0.12544,neutral,A_short
0000950170-23-017882,MD,0000893949,2023-05-04,2023-05-04,5.02|7.01|9.01,,,0.0,,8.53,8.48,7.46,-0.00586,-0.12544,neutral,A_short
0000950170-23-016427,MD,0000893949,2023-05-02,2023-05-02,2.02|9.01,,,0.0,,8.53,8.48,7.46,-0.00586,-0.12544,neutral,A_short
0000950170-23-006748,MD,0000893949,2023-03-08,2023-03-08,5.02,,,0.0,,8.53,8.48,7.46,-0.00586,-0.12544,neutral,A_short
0000950170-23-003125,MD,0000893949,2023-02-17,2023-02-17,2.02|9.01,,,0.0,,8.53,8.48,7.46,-0.00586,-0.12544,neutral,A_short
0000950170-22-026632,MD,0000893949,2022-12-16,2022-12-16,5.02|7.01|9.01,,,0.0,,8.53,8.48,7.46,-0.00586,-0.12544,neutral,A_short
0000950170-22-021516,MD,0000893949,2022-11-03,2022-11-03,2.02|9.01,buyback_authorized,long,0.7,body_keywords,8.53,8.48,7.46,-0.00586,-0.12544,neutral,A_short
0001193125-22-250187,MD,0000893949,2022-09-23,2022-09-23,5.02,,,0.0,,8.53,8.48,7.46,-0.00586,-0.12544,neutral,A_short
0000950170-22-014467,MD,0000893949,2022-08-04,2022-08-04,2.02|9.01,buyback_authorized,long,0.7,body_keywords,8.53,8.48,7.46,-0.00586,-0.12544,neutral,A_short
0000950170-22-011839,MD,0000893949,2022-06-21,2022-06-21,7.01|9.01,,,0.0,,8.53,8.48,7.46,-0.00586,-0.12544,neutral,A_short
0000950170-22-010201,MD,0000893949,2022-05-17,2022-05-17,5.02|5.07,restate,short,0.85,body_keywords,8.53,8.48,7.46,-0.00586,-0.12544,neutral,A_short
0000950170-22-006426,MD,0000893949,2022-04-28,2022-04-28,2.02|9.01,,,0.0,,8.53,8.48,7.46,-0.00586,-0.12544,neutral,A_short
0001193125-26-208929,CXW,0001070985,2026-05-06,2026-05-06,2.02|9.01,buyback_authorized,long,0.7,body_keywords,21.17,21.82,,0.0307,,A_long,
0001193125-26-151239,CXW,0001070985,2026-04-10,2026-04-10,1.01|2.03|9.01,material_adverse_change|restate,short,0.85,body_keywords,19.92,19.93,20.45,0.0005,0.02661,neutral,B_long
0001193125-26-046527,CXW,0001070985,2026-02-11,2026-02-11,2.02|9.01,buyback_authorized,long,0.7,body_keywords,18.5,17.86,18.66,-0.03459,0.00865,A_short,neutral
0001193125-25-316848,CXW,0001070985,2025-12-12,2025-12-12,5.02|7.01|9.01,restate,short,0.85,body_keywords,18.9,18.99,18.97,0.00476,0.0037,neutral,neutral
0001193125-25-304483,CXW,0001070985,2025-12-02,2025-12-02,1.01|2.03|7.01|9.01,buyback_authorized|material_adverse_change|restate,short,0.85,body_keywords,18.28,18.6,18.78,0.01751,0.02735,B_long,B_long
0001193125-25-273104,CXW,0001070985,2025-11-10,2025-11-10,7.01|8.01|9.01,buyback_authorized,long,0.7,body_keywords,17.45,17.23,16.22,-0.01261,-0.07049,B_short,A_short
0001193125-25-266966,CXW,0001070985,2025-11-05,2025-11-05,2.02|9.01,buyback_authorized,long,0.7,body_keywords,18.64,16.79,17.08,-0.09925,-0.08369,A_short,A_short
0001193125-25-182677,CXW,0001070985,2025-08-18,2025-08-18,5.02|7.01|9.01,restate,short,0.85,body_keywords,20.67,21.05,20.54,0.01838,-0.00629,B_long,neutral
0001193125-25-174449,CXW,0001070985,2025-08-06,2025-08-06,2.02|9.01,buyback_authorized,long,0.7,body_keywords,19.6,20.0,20.66,0.02041,0.05408,B_long,A_long
0001193125-25-161202,CXW,0001070985,2025-07-18,2025-07-18,5.02|9.01,restate,short,0.85,body_keywords,20.81,20.24,20.73,-0.02739,-0.00384,B_short,neutral
0001193125-25-122460,CXW,0001070985,2025-05-19,2025-05-19,5.05|5.07|8.01|9.01,buyback_authorized,long,0.7,body_keywords,22.71,22.57,22.42,-0.00616,-0.01277,neutral,B_short
0001193125-25-114893,CXW,0001070985,2025-05-07,2025-05-07,2.02|9.01,buyback_authorized,long,0.7,body_keywords,22.6,22.02,21.57,-0.02566,-0.04558,B_short,A_short
0001193125-25-049990,CXW,0001070985,2025-03-07,2025-03-07,5.02|8.01|9.01,restate,short,0.85,body_keywords,19.07,19.0,20.32,-0.00367,0.06555,neutral,A_long
0001193125-25-042470,CXW,0001070985,2025-02-28,2025-02-28,5.02,,,0.0,,18.76,18.18,19.07,-0.03092,0.01652,A_short,B_long
0001193125-25-023677,CXW,0001070985,2025-02-11,2025-02-11,2.02|9.01,buyback_authorized,long,0.7,body_keywords,18.04,19.18,19.14,0.06319,0.06098,A_long,A_long
0001193125-24-279019,CXW,0001070985,2024-12-16,2024-12-16,5.02|8.01|9.01,,,0.0,,21.75,21.39,21.15,-0.01655,-0.02759,B_short,B_short
0001193125-24-252027,CXW,0001070985,2024-11-06,2024-11-06,2.02|9.01,buyback_authorized,long,0.7,body_keywords,17.58,22.08,21.52,0.25597,0.22412,A_long,A_long
0001193125-24-195876,CXW,0001070985,2024-08-07,2024-08-07,2.02|9.01,buyback_authorized,long,0.7,body_keywords,12.26,12.67,12.89,0.03344,0.05139,A_long,A_long
0001193125-24-159981,CXW,0001070985,2024-06-12,2024-06-12,8.01|9.01,,,0.0,,11.41,11.74,11.33,0.02892,-0.00701,B_long,neutral
0001193125-24-141893,CXW,0001070985,2024-05-20,2024-05-20,5.07|8.01|9.01,buyback_authorized,long,0.7,body_keywords,15.1,15.54,15.17,0.02914,0.00464,B_long,neutral
0001193125-24-134855,CXW,0001070985,2024-05-09,2024-05-09,2.02|9.01,buyback_authorized,long,0.7,body_keywords,15.23,15.15,15.1,-0.00525,-0.00854,neutral,neutral
0001140361-24-013534,CXW,0001070985,2024-03-15,2024-03-15,8.01|9.01,,,0.0,,15.23,15.15,15.1,-0.00525,-0.00854,neutral,neutral
0001140361-24-012872,CXW,0001070985,2024-03-12,2024-03-12,1.01|2.03|8.01|9.01,covenant_violation|shelf_takedown|underwritten_offering,short,0.85,body_keywords,15.23,15.15,15.1,-0.00525,-0.00854,neutral,neutral
0001193125-24-063015,CXW,0001070985,2024-03-08,2024-03-08,5.02|9.01,restate,short,0.85,body_keywords,15.23,15.15,15.1,-0.00525,-0.00854,neutral,neutral
0001140361-24-011861,CXW,0001070985,2024-03-07,2024-03-07,1.01|8.01|9.01,buyback_authorized|material_adverse_change|restate|shelf_takedown,short,0.85,body_keywords,15.23,15.15,15.1,-0.00525,-0.00854,neutral,neutral
0001140361-24-011138,CXW,0001070985,2024-03-05,2024-03-05,8.01|9.01,shelf_takedown|underwritten_offering,short,0.75,body_keywords,15.23,15.15,15.1,-0.00525,-0.00854,neutral,neutral
0001193125-24-030175,CXW,0001070985,2024-02-09,2024-02-09,2.02|9.01,buyback_authorized|restate,short,0.85,body_keywords,15.23,15.15,15.1,-0.00525,-0.00854,neutral,neutral
0001193125-24-028017,CXW,0001070985,2024-02-08,2024-02-08,2.02|9.01,buyback_authorized|restate,short,0.85,body_keywords,15.23,15.15,15.1,-0.00525,-0.00854,neutral,neutral
0001140361-23-057950,CXW,0001070985,2023-12-15,2023-12-15,5.02|5.03|9.01,restate,short,0.85,body_keywords,15.23,15.15,15.1,-0.00525,-0.00854,neutral,neutral
0001193125-23-271869,CXW,0001070985,2023-11-07,2023-11-07,2.02|9.01,buyback_authorized|restate,short,0.85,body_keywords,15.23,15.15,15.1,-0.00525,-0.00854,neutral,neutral
0001140361-23-047965,CXW,0001070985,2023-10-12,2023-10-12,1.01|2.03|8.01|9.01,covenant_violation|material_adverse_change|non_reliance|restate,short,0.95,body_keywords,15.23,15.15,15.1,-0.00525,-0.00854,neutral,neutral
0001193125-23-205550,CXW,0001070985,2023-08-08,2023-08-08,2.02|9.01,buyback_authorized,long,0.7,body_keywords,15.23,15.15,15.1,-0.00525,-0.00854,neutral,neutral
0001193125-23-144941,CXW,0001070985,2023-05-15,2023-05-15,5.07|9.01,,,0.0,,15.23,15.15,15.1,-0.00525,-0.00854,neutral,neutral
0001193125-23-135094,CXW,0001070985,2023-05-04,2023-05-04,2.02|9.01,buyback_authorized,long,0.7,body_keywords,15.23,15.15,15.1,-0.00525,-0.00854,neutral,neutral
0001193125-23-029166,CXW,0001070985,2023-02-09,2023-02-09,2.02|9.01,buyback_authorized,long,0.7,body_keywords,15.23,15.15,15.1,-0.00525,-0.00854,neutral,neutral
0001193125-22-310530,CXW,0001070985,2022-12-22,2022-12-22,8.01|9.01,,,0.0,,15.23,15.15,15.1,-0.00525,-0.00854,neutral,neutral
0001193125-22-307295,CXW,0001070985,2022-12-16,2022-12-16,8.01|9.01,restate,short,0.85,body_keywords,15.23,15.15,15.1,-0.00525,-0.00854,neutral,neutral
0001193125-22-276354,CXW,0001070985,2022-11-03,2022-11-03,2.02|9.01,buyback_authorized,long,0.7,body_keywords,15.23,15.15,15.1,-0.00525,-0.00854,neutral,neutral
0001193125-22-255472,CXW,0001070985,2022-09-30,2022-09-30,8.01|9.01,restate,short,0.85,body_keywords,15.23,15.15,15.1,-0.00525,-0.00854,neutral,neutral
0001193125-22-210626,CXW,0001070985,2022-08-03,2022-08-03,2.02|8.01|9.01,buyback_authorized|restate,short,0.85,body_keywords,15.23,15.15,15.1,-0.00525,-0.00854,neutral,neutral
0001193125-22-180708,CXW,0001070985,2022-06-24,2022-06-24,8.01,buyback_authorized,long,0.7,body_keywords,15.23,15.15,15.1,-0.00525,-0.00854,neutral,neutral
0001193125-22-155516,CXW,0001070985,2022-05-20,2022-05-20,8.01,,,0.0,,15.23,15.15,15.1,-0.00525,-0.00854,neutral,neutral
0001140361-22-019238,CXW,0001070985,2022-05-16,2022-05-16,5.02|5.07|9.01,restate,short,0.85,body_keywords,15.23,15.15,15.1,-0.00525,-0.00854,neutral,neutral
0001140361-22-019234,CXW,0001070985,2022-05-16,2022-05-16,8.01,buyback_authorized,long,0.7,body_keywords,15.23,15.15,15.1,-0.00525,-0.00854,neutral,neutral
0001140361-22-018956,CXW,0001070985,2022-05-13,2022-05-13,1.01|2.03|9.01,covenant_violation|material_adverse_change|non_reliance|restate,short,0.95,body_keywords,15.23,15.15,15.1,-0.00525,-0.00854,neutral,neutral
0001193125-22-141373,CXW,0001070985,2022-05-05,2022-05-05,2.02|9.01,,,0.0,,15.23,15.15,15.1,-0.00525,-0.00854,neutral,neutral
0001104659-26-057164,GNL,0001526113,2026-05-07,2026-05-07,7.01|9.01,buyback_authorized,long,0.7,body_keywords,9.12,9.23,,0.01206,,B_long,
0001628280-26-030591,GNL,0001526113,2026-05-05,2026-05-05,2.02|7.01|9.01,buyback_authorized|definitive_agreement_acquisition|restate,long,0.7,body_keywords,9.15,9.03,9.13,-0.01311,-0.00219,B_short,neutral
0001104659-26-055648,GNL,0001526113,2026-05-05,2026-05-05,7.01|9.01,buyback_authorized,long,0.7,body_keywords,9.15,9.03,9.13,-0.01311,-0.00219,B_short,neutral
0001104659-26-054379,GNL,0001526113,2026-05-04,2026-05-04,1.01|3.02|7.01|9.01,credit_facility_amendment|definitive_agreement_acquisition|material_adverse_change|restate,short,0.85,body_keywords,9.17,9.15,9.12,-0.00218,-0.00545,neutral,neutral
0001104659-26-043986,GNL,0001526113,2026-04-16,2026-04-16,7.01|9.01,,,0.0,,9.62,9.71,9.47,0.00936,-0.01559,neutral,B_short
0001104659-26-038799,GNL,0001526113,2026-04-02,2026-04-02,5.02|7.01|9.01,,,0.0,,9.41,9.32,9.66,-0.00956,0.02657,neutral,B_long
0001104659-26-038141,GNL,0001526113,2026-04-01,2026-04-01,7.01|9.01,,,0.0,,9.47,9.41,9.63,-0.00634,0.0169,neutral,B_long
0001104659-26-031641,GNL,0001526113,2026-03-19,2026-03-19,7.01|9.01,,,0.0,,9.57,9.22,9.17,-0.03657,-0.0418,A_short,A_short
0001104659-26-020505,GNL,0001526113,2026-02-26,2026-02-26,7.01|9.01,buyback_authorized,long,0.7,body_keywords,9.48,9.42,9.32,-0.00633,-0.01688,neutral,B_short
0001104659-26-019680,GNL,0001526113,2026-02-25,2026-02-25,7.01|9.01,buyback_authorized,long,0.7,body_keywords,9.78,9.48,9.46,-0.03067,-0.03272,A_short,A_short
0001628280-26-011686,GNL,0001526113,2026-02-25,2026-02-25,2.02|7.01|9.01,buyback_authorized|restate,short,0.85,body_keywords,9.78,9.48,9.46,-0.03067,-0.03272,A_short,A_short
0001104659-26-010582,GNL,0001526113,2026-02-05,2026-02-05,7.01|9.01,,,0.0,,9.58,9.61,9.79,0.00313,0.02192,neutral,B_long
0001104659-26-008874,GNL,0001526113,2026-02-02,2026-02-02,7.01|9.01,,,0.0,,9.33,9.41,9.78,0.00857,0.04823,neutral,A_long
0001104659-26-001919,GNL,0001526113,2026-01-08,2026-01-08,7.01|9.01,buyback_authorized,long,0.7,body_keywords,8.89,8.95,9.25,0.00675,0.04049,neutral,A_long
0001104659-26-000040,GNL,0001526113,2026-01-02,2026-01-02,7.01|9.01,,,0.0,,8.82,8.8,8.95,-0.00227,0.01474,neutral,B_long
0001104659-25-123952,GNL,0001526113,2025-12-23,2025-12-23,7.01|9.01,,,0.0,,8.21,8.45,8.6,0.02923,0.0475,B_long,A_long
0001104659-25-122246,GNL,0001526113,2025-12-18,2025-12-18,7.01|9.01,,,0.0,,8.43,8.34,8.56,-0.01068,0.01542,B_short,B_long
0001104659-25-119026,GNL,0001526113,2025-12-08,2025-12-08,7.01|9.01,,,0.0,,8.08,8.26,8.4,0.02228,0.0396,B_long,A_long
0001104659-25-108591,GNL,0001526113,2025-11-07,2025-11-07,8.01|9.01,restate|shelf_takedown,short,0.85,body_keywords,8.08,7.85,7.94,-0.02847,-0.01733,B_short,B_short
0001104659-25-108103,GNL,0001526113,2025-11-07,2025-11-07,1.01|1.02|9.01,covenant_violation|issue_and_sell_shares|material_adverse_change|non_reliance|restate|shelf_takedown,short,0.95,body_keywords,8.08,7.85,7.94,-0.02847,-0.01733,B_short,B_short
0001104659-25-107748,GNL,0001526113,2025-11-06,2025-11-06,7.01|9.01,buyback_authorized,long,0.7,body_keywords,7.94,8.08,7.97,0.01763,0.00378,B_long,neutral
0001104659-25-107039,GNL,0001526113,2025-11-05,2025-11-05,7.01|9.01,,,0.0,,7.55,7.94,7.8,0.05166,0.03311,A_long,A_long
0001628280-25-049599,GNL,0001526113,2025-11-05,2025-11-05,2.02|7.01|9.01,buyback_authorized|restate,short,0.85,body_keywords,7.55,7.94,7.8,0.05166,0.03311,A_long,A_long
0001104659-25-100198,GNL,0001526113,2025-10-17,2025-10-17,7.01|9.01,,,0.0,,7.68,7.75,7.69,0.00911,0.0013,neutral,neutral
0001104659-25-099869,GNL,0001526113,2025-10-16,2025-10-16,7.01|9.01,,,0.0,,7.77,7.68,7.63,-0.01158,-0.01802,B_short,B_short
0001104659-25-095258,GNL,0001526113,2025-10-01,2025-10-01,7.01|9.01,,,0.0,,8.19,8.13,7.96,-0.00733,-0.02808,neutral,B_short
0001104659-25-090996,GNL,0001526113,2025-09-18,2025-09-18,7.01|9.01,,,0.0,,8.14,8.05,8.08,-0.01106,-0.00737,B_short,neutral
0001104659-25-075207,GNL,0001526113,2025-08-07,2025-08-07,7.01|9.01,buyback_authorized,long,0.7,body_keywords,7.47,7.68,7.56,0.02811,0.01205,B_long,B_long
0001526113-25-000019,GNL,0001526113,2025-08-06,2025-08-06,2.02|7.01|9.01,buyback_authorized|restate,short,0.85,body_keywords,6.85,7.47,7.67,0.09051,0.11971,A_long,A_long
0001104659-25-074729,GNL,0001526113,2025-08-06,2025-08-06,7.01|9.01,buyback_authorized|restate,short,0.85,body_keywords,6.85,7.47,7.67,0.09051,0.11971,A_long,A_long
0001104659-25-074482,GNL,0001526113,2025-08-06,2025-08-06,1.01|1.02|2.03|7.01|9.01,buyback_authorized|covenant_violation|material_adverse_change|restate,short,0.85,body_keywords,6.85,7.47,7.67,0.09051,0.11971,A_long,A_long
0001104659-25-068193,GNL,0001526113,2025-07-16,2025-07-16,7.01|9.01,,,0.0,,7.2,7.17,7.11,-0.00417,-0.0125,neutral,B_short
0001104659-25-064375,GNL,0001526113,2025-07-01,2025-07-01,7.01|9.01,,,0.0,,7.63,7.71,7.57,0.01048,-0.00786,B_long,neutral
0001104659-25-063782,GNL,0001526113,2025-06-30,2025-06-30,7.01|9.01,,,0.0,,7.55,7.63,7.57,0.0106,0.00265,B_long,neutral
0001104659-25-061322,GNL,0001526113,2025-06-23,2025-06-23,7.01|8.01|9.01,,,0.0,,7.64,7.51,7.55,-0.01702,-0.01178,B_short,B_short
0001104659-25-060455,GNL,0001526113,2025-06-18,2025-06-18,7.01|9.01,,,0.0,,7.33,7.47,7.5,0.0191,0.02319,B_long,B_long
0001104659-25-059364,GNL,0001526113,2025-06-13,2025-06-13,2.01|7.01|9.01,,,0.0,,7.39,7.37,7.64,-0.00271,0.03383,neutral,A_long
0001104659-25-055150,GNL,0001526113,2025-06-02,2025-06-02,5.02|7.01|9.01,,,0.0,,7.7,7.67,7.74,-0.0039,0.00519,neutral,neutral
0001104659-25-052963,GNL,0001526113,2025-05-27,2025-05-27,5.02|5.03|5.07|9.01,restate,short,0.85,body_keywords,7.83,7.8,7.67,-0.00383,-0.02043,neutral,B_short
0001104659-25-046129,GNL,0001526113,2025-05-08,2025-05-08,7.01|9.01,buyback_authorized,long,0.7,body_keywords,7.85,8.08,7.98,0.0293,0.01656,B_long,B_long
0001104659-25-045569,GNL,0001526113,2025-05-07,2025-05-07,7.01|9.01,buyback_authorized|restate,short,0.85,body_keywords,7.53,7.85,7.91,0.0425,0.05046,A_long,A_long
0001526113-25-000010,GNL,0001526113,2025-05-07,2025-05-07,2.02|7.01|9.01,buyback_authorized|restate,short,0.85,body_keywords,7.53,7.85,7.91,0.0425,0.05046,A_long,A_long
0001104659-25-035278,GNL,0001526113,2025-04-16,2025-04-16,7.01|9.01,,,0.0,,7.53,7.58,7.49,0.00664,-0.00531,neutral,neutral
0001104659-25-031939,GNL,0001526113,2025-04-04,2025-04-04,5.03|9.01,restate,short,0.85,body_keywords,7.52,7.15,6.99,-0.0492,-0.07048,A_short,A_short
0001104659-25-030175,GNL,0001526113,2025-04-01,2025-04-01,7.01|9.01,,,0.0,,7.98,7.95,6.82,-0.00376,-0.14536,neutral,A_short
0001104659-25-029379,GNL,0001526113,2025-03-28,2025-03-28,2.01|7.01|9.01,,,0.0,,8.0,8.04,7.52,0.005,-0.06,neutral,A_short
0001104659-25-025781,GNL,0001526113,2025-03-20,2025-03-20,7.01|9.01,,,0.0,,7.94,7.83,7.97,-0.01385,0.00378,B_short,neutral
0001104659-25-023466,GNL,0001526113,2025-03-13,2025-03-13,1.01|3.03|9.01,buyback_authorized|restate,short,0.85,body_keywords,7.8,8.06,7.94,0.03333,0.01795,A_long,B_long
0001104659-25-022718,GNL,0001526113,2025-03-12,2025-03-12,5.02|7.01|9.01,,,0.0,,7.83,7.8,7.95,-0.00383,0.01533,neutral,B_long
0001104659-25-019816,GNL,0001526113,2025-03-03,2025-03-03,7.01|9.01,buyback_authorized,long,0.7,body_keywords,8.21,8.15,8.0,-0.00731,-0.02558,neutral,B_short
0001526113-25-000005,GNL,0001526113,2025-02-27,2025-02-27,2.02|7.01|9.01,buyback_authorized|guidance_raised|restate,long,0.75,body_keywords,7.53,8.0,8.11,0.06242,0.07703,A_long,A_long
0001104659-25-018245,GNL,0001526113,2025-02-27,2025-02-27,7.01|9.01,buyback_authorized|restate,short,0.85,body_keywords,7.53,8.0,8.11,0.06242,0.07703,A_long,A_long
0001104659-25-017138,GNL,0001526113,2025-02-26,2025-02-26,1.01|7.01|9.01,buyback_authorized,long,0.7,body_keywords,7.41,7.53,8.26,0.01619,0.11471,B_long,A_long
0001104659-25-010285,GNL,0001526113,2025-02-07,2025-02-07,7.01|9.01,,,0.0,,7.12,7.1,7.11,-0.00281,-0.0014,neutral,neutral
0001104659-25-005994,GNL,0001526113,2025-01-24,2025-01-24,5.02|9.01,,,0.0,,7.2,7.38,7.19,0.025,-0.00139,B_long,neutral
0001104659-25-002033,GNL,0001526113,2025-01-08,2025-01-08,7.01|9.01,,,0.0,,7.39,7.12,7.27,-0.03654,-0.01624,A_short,B_short
0001104659-25-000080,GNL,0001526113,2025-01-02,2025-01-02,7.01|9.01,,,0.0,,7.32,7.52,7.12,0.02732,-0.02732,B_long,B_short
0001104659-24-129941,GNL,0001526113,2024-12-19,2024-12-19,7.01|9.01,,,0.0,,7.02,7.15,7.2,0.01852,0.02564,B_long,B_long
0001104659-24-127778,GNL,0001526113,2024-12-12,2024-12-12,7.01|9.01,,,0.0,,7.12,7.22,7.02,0.01404,-0.01404,B_long,B_short
0001104659-24-122161,GNL,0001526113,2024-11-22,2024-11-22,5.02|9.01,,,0.0,,7.36,7.56,7.36,0.02717,0.0,B_long,neutral
0001104659-24-115318,GNL,0001526113,2024-11-07,2024-11-07,7.01|9.01,,,0.0,,7.96,7.89,7.28,-0.00879,-0.08543,neutral,A_short
0001104659-24-114819,GNL,0001526113,2024-11-06,2024-11-06,7.01|9.01,guidance_raised|restate,short,0.85,body_keywords,7.94,7.96,7.48,0.00252,-0.05793,neutral,A_short
0001526113-24-000026,GNL,0001526113,2024-11-06,2024-11-06,2.02|7.01|9.01,restate,short,0.85,body_keywords,7.94,7.96,7.48,0.00252,-0.05793,neutral,A_short
0001104659-24-108267,GNL,0001526113,2024-10-15,2024-10-15,7.01|9.01,,,0.0,,8.5,8.59,8.1,0.01059,-0.04706,B_long,A_short
0001104659-24-107181,GNL,0001526113,2024-10-09,2024-10-09,7.01|9.01,,,0.0,,8.57,8.39,8.59,-0.021,0.00233,B_short,neutral
0001104659-24-104601,GNL,0001526113,2024-10-01,2024-10-01,7.01|9.01,,,0.0,,8.39,8.4,8.46,0.00119,0.00834,neutral,neutral
0001104659-24-101157,GNL,0001526113,2024-09-19,2024-09-19,7.01|9.01,,,0.0,,8.79,8.67,8.57,-0.01365,-0.02503,B_short,B_short
0001104659-24-096583,GNL,0001526113,2024-09-04,2024-09-04,7.01|9.01,,,0.0,,8.62,8.7,8.62,0.00928,0.0,neutral,neutral
0001104659-24-086772,GNL,0001526113,2024-08-07,2024-08-07,7.01|9.01,guidance_raised,long,0.75,body_keywords,8.09,8.17,8.26,0.00989,0.02101,neutral,B_long
0001104659-24-086299,GNL,0001526113,2024-08-06,2024-08-06,7.01|9.01,guidance_raised|restate,short,0.85,body_keywords,8.28,8.09,8.02,-0.02295,-0.0314,B_short,A_short
